2.246073,0.9784008,1.243337,0.5283843
2.246415,0.9959366,1.243525,0.5378528
2.247442,1.014427,1.244092,0.5478365
2.249156,1.033939,1.245039,0.5583713
2.251558,1.054542,1.246368,0.5694962
2.254653,1.076319,1.24808,0.5812535
2.258445,3.126966,1.250178,1.661129
2.262941,3.133188,1.252666,1.697988
2.268147,3.140392,1.255546,1.737062
2.274071,3.148591,1.258824,1.778531
2.280722,3.157797,1.262505,1.822597
2.288112,2.621866,1.266595,2.792967
2.296252,2.527551,2.296333,2.802902
2.305154,2.484673,2.305236,2.813769
2.314833,2.459119,2.314916,2.825584
2.325306,2.444635,2.32539,2.838367
2.336588,2.438963,2.336673,2.852138
2.273816,2.441378,2.348786,2.866922
2.155037,2.452179,2.361748,2.882742
2.048645,2.472887,2.375581,2.899626
1.95283,2.507565,2.39031,2.917603
1.86612,2.570426,2.40596,2.936704
1.787305,3.354007,2.422559,2.956964
1.715378,3.378338,2.440138,2.978419
1.6495,3.40407,2.458727,3.001108
1.58896,3.43125,2.478363,3.025074
1.533158,3.45993,2.499082,3.050363
1.481578,2.55827,2.520925,3.077023
1.433778,2.473899,2.543935,3.105107
1.389376,2.395622,2.568158,3.134673
1.34804,2.322833,2.593645,3.16578
1.30948,2.255003,2.620449,3.198496
1.273442,2.191671,2.648628,3.232889
1.239701,2.184395,2.678244,3.269037
1.208061,2.209774,2.709365,3.307021
1.178346,2.236438,2.742062,3.34693
1.150399,2.264452,2.776415,3.388858
1.124082,2.293885,2.812506,3.37644
1.09927,2.32481,2.850428,3.301903
1.075849,2.357308,2.890279,3.231549
1.053721,1.013913,2.932166,3.165075
1.032792,1.01252,2.976205,3.102207
1.012981,1.011438,1.436323,3.042696
0.9942131,1.010666,1.435226,2.986318
0.9764199,1.010203,1.434568,2.932868
0.9595395,1.010047,1.434348,2.88216
0.9435154,1.0102,1.434564,2.834025
0.9282959,1.01066,1.435218,2.788306
0.9138334,1.011429,1.436309,2.744863
0.9000847,1.012508,1.437841,2.703562
0.8870097,1.013898,1.439816,2.664286
0.8745717,1.015602,1.442235,2.626924
0.8627369,1.017622,1.445104,2.591373
0.851474,1.019961,1.448426,1.62323
0.8407543,1.022623,1.452207,1.564879
0.8305509,1.025613,1.456452,1.531345
0.8208392,1.028934,1.461169,1.508156
0.8115964,1.032593,1.466364,1.491442
0.8028013,1.036595,1.472047,1.479502
0.7944341,1.040946,1.478226,1.471451
0.7864766,1.045653,1.484911,1.4668
0.7789119,1.050725,3.054282,0.8575564
0.7717242,1.05617,3.026095,0.849467
0.7648987,1.061996,2.999329,0.8417828
0.7584219,1.068214,2.97393,0.8344885
0.7522811,1.074835,2.949848,0.8275691
0.7464646,1.08187,2.927038,0.8210117
0.7409612,2.364094,2.905457,0.8148036
0.7357609,2.347503,2.885063,0.8089334
0.7308541,2.33185,2.86582,0.80339
